ENTITY,CODE,YEAR,NUMBER OF EXECUTIONS (AMNESTY INTERNATIONAL),DEATHS - MENINGITIS - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - NEOPLASMS - SEX: BOTH - AGE: ALL AGES (NUMBER),"DEATHS - FIRE, HEAT, AND HOT SUBSTANCES - SEX: BOTH - AGE: ALL AGES (NUMBER)",DEATHS - MALARIA - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - DROWNING - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - INTERPERSONAL VIOLENCE - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - HIV/AIDS - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - DRUG USE DISORDERS - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - TUBERCULOSIS - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - ROAD INJURIES - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - MATERNAL DISORDERS - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - LOWER RESPIRATORY INFECTIONS - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - NEONATAL DISORDERS - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - ALCOHOL USE DISORDERS - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - EXPOSURE TO FORCES OF NATURE - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - DIARRHEAL DISEASES - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - ENVIRONMENTAL HEAT AND COLD EXPOSURE - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - NUTRITIONAL DEFICIENCIES - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - SELF-HARM - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - CONFLICT AND TERRORISM - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - DIABETES MELLITUS - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - POISONINGS - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - PROTEIN-ENERGY MALNUTRITION - SEX: BOTH - AGE: ALL AGES (NUMBER),TERRORISM (DEATHS),DEATHS - CARDIOVASCULAR DISEASES - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - CHRONIC KIDNEY DISEASE - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - CHRONIC RESPIRATORY DISEASES - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - CIRRHOSIS AND OTHER CHRONIC LIVER DISEASES - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - DIGESTIVE DISEASES - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - ACUTE HEPATITIS - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - ALZHEIMER'S DISEASE AND OTHER DEMENTIAS - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - PARKINSON'S DISEASE - SEX: BOTH - AGE: ALL AGES (NUMBER)
Bahrain,BHR,2010,1,3.0,499.0,13.0,0.0,12.0,35.0,12.0,2.0,11.0,168.0,5.0,66.0,52.0,5.0,0.0,9.0,1.0,4.0,86.0,0.0,404.0,2.0,4.0,0.0,862.0,119.0,126.0,89.0,140.0,4.0,38.0,13.0
Bangladesh,BGD,2007,6,4633.0,69816.0,1405.0,3791.0,22024.0,3391.0,155.0,225.0,44186.0,8927.0,8083.0,56958.0,86638.0,277.0,5505.0,35610.0,207.0,12076.0,8468.0,19.0,22321.0,479.0,9194.0,1.0,229986.0,10466.0,60138.0,26714.0,41053.0,3970.0,6653.0,2609.0
Bangladesh,BGD,2008,5,4638.0,71059.0,1369.0,6577.0,20626.0,3394.0,187.0,224.0,41736.0,8984.0,7432.0,53459.0,83087.0,277.0,68.0,33338.0,76.0,10812.0,8250.0,22.0,22325.0,484.0,8009.0,9.0,234002.0,10495.0,59378.0,25922.0,39833.0,3873.0,6891.0,2647.0
Bangladesh,BGD,2009,3,3846.0,73425.0,1360.0,4105.0,19115.0,3521.0,214.0,227.0,39446.0,9143.0,7008.0,50206.0,79128.0,279.0,213.0,32312.0,145.0,9739.0,8237.0,20.0,22685.0,497.0,7005.0,18.0,242016.0,10648.0,59517.0,25497.0,39291.0,3884.0,7239.0,2745.0
Bangladesh,BGD,2010,9,3663.0,76058.0,1469.0,4993.0,17169.0,3576.0,246.0,229.0,37697.0,9183.0,6938.0,47584.0,75448.0,280.0,107.0,31548.0,147.0,8793.0,8133.0,127.0,23287.0,506.0,6149.0,15.0,252054.0,10771.0,60294.0,25085.0,38799.0,3941.0,7658.0,2899.0
Bangladesh,BGD,2011,5,3328.0,76393.0,1269.0,5108.0,15392.0,3678.0,286.0,220.0,34335.0,8715.0,6848.0,44083.0,72192.0,276.0,40.0,30285.0,141.0,7706.0,7534.0,402.0,21981.0,494.0,5309.0,9.0,243361.0,10470.0,56564.0,24070.0,37327.0,3848.0,7951.0,2713.0
Bangladesh,BGD,2012,1,3005.0,77715.0,1227.0,1087.0,13666.0,3632.0,320.0,217.0,31900.0,8393.0,7283.0,40685.0,67831.0,277.0,272.0,29560.0,103.0,6792.0,7119.0,317.0,21231.0,500.0,4550.0,8.0,238443.0,10336.0,53698.0,23548.0,36562.0,3831.0,8374.0,2556.0
Bangladesh,BGD,2013,2,2887.0,80503.0,1219.0,481.0,12246.0,3841.0,343.0,224.0,31182.0,8371.0,7343.0,39183.0,63358.0,280.0,50.0,30075.0,131.0,6259.0,6949.0,141.0,22033.0,490.0,4024.0,16.0,245834.0,10470.0,54792.0,23445.0,36587.0,3920.0,9137.0,2719.0
Bangladesh,BGD,2015,4,2366.0,87112.0,1233.0,901.0,10182.0,4087.0,368.0,233.0,30629.0,8469.0,7439.0,37458.0,55251.0,286.0,159.0,31321.0,94.0,5703.0,6857.0,163.0,24520.0,518.0,3478.0,86.0,268859.0,10872.0,58308.0,23622.0,37322.0,4143.0,10930.0,3180.0
Bangladesh,BGD,2016,10,2334.0,91436.0,1249.0,580.0,9401.0,4052.0,377.0,249.0,30376.0,8428.0,7204.0,37103.0,51546.0,295.0,198.0,32195.0,99.0,5311.0,6887.0,231.0,26259.0,533.0,3109.0,76.0,279014.0,11265.0,60948.0,24192.0,38322.0,4270.0,12037.0,3441.0
